Brand,Role,Description,Detail URL,Guild,Subcategory,Industry,LevelOfSpecialization
ENOVIA,IP Security Manager,"Manage IP Classes, along with IP Security Rules and Exceptions, as applied to Classified IP data and Export Controlled items.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/ip-security-manager/?role=true,Librarian / Scribe,"IP Security Management",Generic,3
CATIA,Immersive Collaboration Experience,"Perform multi-user Virtual Reality reviews and capture team decisions directly and natively within your 3DEXPERIENCE data and applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/immersive-collaboration-experience/?role=true,Illusionist / Performer,"Multi-user VR Collaboration",Generic,2
CATIA,Industrial Designer,"An Unified Industrial Design workflow solution to Imagine, Create & Experience the product of tomorrow",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/industrial-designer/?role=true,Designer / Artisan,"Industrial Design",Generic,1
CATIA,Initial 3D Arrangement Specialist,"Early definition of the general arrangement layout for ship disciplines like structure, steel outfitting, accommodation, equipment, electrical and fluid systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/initial-3d-arrangement-specialist/?role=true,Designer / Artisan,"Ship/Marine Arrangement","Marine & Offshore",3
CATIA,Interior & Exterior Trim Engineer,"With respect of manufacturing rules, accelerate the detailed design of complex plastic parts mechanism, including model based definition and kinematics",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/interior-and-exterior-trim-engineer/?role=true,Designer / Artisan,"Automotive Trim Design","Transportation & Mobility",3
NETVIBES,Issue Intelligence Consumer,"Cockpit to get a live status on issues management, for performing analysis on past & ongoing issues, with the ability to build new analytics to answer questions",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/issue-intelligence-consumer/?role=true,Strategist / Guild Master,"Issue Analytics",Generic,2
ENOVIA,Label Coordinator,"Eliminate the data silos and streamline label development with connection to the product.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/label-coordinator/?role=true,Librarian / Scribe,"Label & Artwork Collaboration",Generic,2
BIOVIA,Laboratory Scientist,"Optimize your Laboratories and Leverage Knowledge to Improve Time to Market",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/laboratory-scientist/?role=true,Alchemist / Scholar,"Lab Operations",Generic,2
CATIA,Lattice Designer,"Design lattice structures in high performance parts, from conceptual to detailed, enabling structural validation, and output 3D printers readable format.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/lattice-designer/?role=true,Designer / Artisan,"Lattice Structures",Generic,3
CATIA,Layered Product Designer,"Create complex soft layered product stacking, with ad-hoc representations and very accurate weight monitoring, at all stages of the design.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/layered-product-designer/?role=true,Designer / Artisan,"Layered Products (Textiles, Interiors)",Generic,3
DELMIA,Lean Team Member,"Digitize Lean Practices to capture, monitor, and track operational meetings across organizational barriers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/lean-team-member/?role=true,Craftsman / Maker,"Lean Collaboration",Generic,1
DELMIA,Lean Team Player,"Digitize Lean Practices to capture, monitor, and track operational meetings across organizational barriers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/lean-team-player/?role=true,Craftsman / Maker,"Lean Collaboration",Generic,1
SIMULIA,Living Heart Human Model,"Test cardiovascular device designs in-silico to assess and improve device performance, efficacy, and safety",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/living-heart-human-model/?role=true,Engineer / Analyst,"Biomedical Simulation (Cardiovascular)",MedicalDevice,3
DELMIA,Machine & Tooling Designer,"Create 3D virtual models of shop floor equipment such as machines, robots, 3D printers ?and tooling - including kinematics",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/machine-and-tooling-designer/?role=true,Craftsman / Maker,"Tooling & Machine Layout",Generic,2
DELMIA,Manufacturing Engineer,"Fully define and manage your Manufacturing Items and Process Plans in a single environment",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/manufacturing-engineer/?role=true,Craftsman / Maker,"Manufacturing Process Planning",Generic,1
DELMIA,Manufacturing Engineer for Marine,"Manage the Manufacturing Bill of Materials and Process Plans, author Work Instructions and simulate Assembly Operations",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/manufacturing-engineer-for-marine/?role=true,Craftsman / Maker,"Marine Manufacturing","Marine & Offshore",2
DELMIA,Manufacturing Items Engineer,"Define, compare, manage and update the Manufacturing Bill of Material (MBOM) from the Engineering Bill of Material (EBOM)",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/manufacturing-items-engineer/?role=true,Craftsman / Maker,"MBOM Management",Generic,2
DELMIA,Manufacturing Process Engineer,"Provides highly efficient browsing and basic authoring of Manufacturing Routings to create and update manufacturing plans in a light and affordable web client.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/manufacturing-process-engineer/?role=true,Craftsman / Maker,"Routing & Process Planning",Generic,2
3DEXCITE,Marketing Experience Creator,"Create interactive, real-time experiences for multi-channel customer engagements, leveraging the 3DEXPERIENCE Twin for Marketing.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/marketing-experience-creator/?role=true,Illusionist / Performer,"Interactive Marketing Experiences",Generic,2
3DEXCITE,Marketing Experience Presenter,"Present interactive experiences directly with 3DPlay based on the Commercial Virtual Twin at events or at the customer touchpoint",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/marketing-experience-presenter/?role=true,Illusionist / Performer,"Live Presentation (Marketing)",Generic,1
3DEXCITE,Marketing Innovator,"Master and distribute all product content into your ecosystem reliably managed & life cycled in the single source-of-truth.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/marketing-innovator/?role=true,Illusionist / Performer,"Marketing Content Management",Generic,2
3DEXCITE,Marketing Model Creator,"The 3DExperience Virtual Twin as common foundation for all commercial media production, optimizes cost, saves time and supports compelling consumer engagements",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/marketing-model-creator/?role=true,Illusionist / Performer,"Marketing Model Prep",Generic,2
3DEXCITE,Marketing Model Generator,"Create Once – Reuse Everywhere. Standardized, repeatable, process automation saves time and effort for Marketing Model buildup.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/marketing-model-generator/?role=true,Illusionist / Performer,"Automated Model Generation",Generic,3
3DEXCITE,Marketing Production Artist,"Generative production of photorealistic marketing assets for customer engagements leveraging the 3DEXPERIENCE Twin for Marketing",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/marketing-production-artist/?role=true,Illusionist / Performer,"Rendering & Asset Production",Generic,2
SIMULIA,Material Calibration Engineer,"Increase fidelity of simulations by calibrating advanced material models from physical or virtual test data",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/material-calibration-engineer/?role=true,Engineer / Analyst,"Material Model Calibration",Generic,3
DELMIA,Material Deposition Machine Programmer,"Prepare & compute the manufacturing process for Material Deposition (DED-cladding) & Material Extrusion in Additive Manufacturing",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/material-deposition-machine-programmer/?role=true,Craftsman / Maker,"Additive Mfg (Material Deposition)",Generic,3
DELMIA,Material Handling Robot Programmer,"Simulate, validate and program robot material handling and palletizing workcells",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/material-handling-robot-programmer/?role=true,Craftsman / Maker,"Robot Handling & Palletizing",Generic,2
ENOVIA,Materials Compliance Analyst,"Additional product & component compliance visibility to managers and design engineers based on material declaration information in Materials Compliance Manager.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-compliance-analyst/?role=true,Strategist / Guild Master,"Materials Compliance (Analytics)",Generic,2
ENOVIA,Materials Compliance Assessor,"Allow design and product engineers to assess the compliance of products to material compliance regulations",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-compliance-assessor/?role=true,Librarian / Scribe,"Compliance Assessment",Generic,2
ENOVIA,Materials Compliance Engineer,"Configure regulations, associate materials compliance data with materials & engineering items to ensure regulatory compliance.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-compliance-engineer/?role=true,Librarian / Scribe,"Compliance Configuration",Generic,3
ENOVIA,Materials Compliance Manager,"Enable companies to collect, track, analyze, and report a product’s environmental compliance against chemical substance or material content regulations",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-compliance-manager/?role=true,Librarian / Scribe,"Compliance Management",Generic,3
ENOVIA,Materials Compliance Supplier Representative,"Enables suppliers to create and submit material declarations based on requests originating from Materials Compliance Manager.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-compliance-supplier-representative/?role=true,Librarian / Scribe,"Supplier Compliance Data",Generic,2
BIOVIA,Materials Modeler,"Create better materials by design with molecular simulation of materials and formulations using Materials Studio",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-modeler/?role=true,Alchemist / Scholar,"Molecular Materials Simulation",Generic,3
BIOVIA,Materials Registrar,"Register substances to capture their key properties, determine their identity and preserve intellectual property",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-registrar/?role=true,Alchemist / Scholar,"Substance Registration / IP",Generic,3
BIOVIA,Materials for Analysts,"Search high value material properties",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-for-analysts/?role=true,Alchemist / Scholar,"Materials DB (Analysis)",Generic,1
BIOVIA,Materials for Designers,"Search high value material properties",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/materials-for-designers/?role=true,Alchemist / Scholar,"Materials DB (Design)",Generic,1
CATIA,Mechanical & Shape Designer,"A powerful set of applications built to create and manage sophisticated mechanical projects, including advanced surface design",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mechanical-and-shape-designer/?role=true,Designer / Artisan,"Mechanical & Advanced Surfaces",Generic,1
CATIA,Mechanical & Shape Engineer,"Increase your mechanical & advanced shape product design quality. Increase the number of studies for complex mechanism design and simulation alternatives.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mechanical-and-shape-engineer/?role=true,Designer / Artisan,"Mechanical & Advanced Surfaces",Generic,2
CATIA,Mechanical Designer,"A powerful set of applications built to create and manage sophisticated mechanical projects",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mechanical-designer/?role=true,Designer / Artisan,"Mechanical Design",Generic,1
CATIA,Mechanical Engineer,"Enhance your mechanical product design quality & alternatives, Increase the number of studies for complex mechanism design and simulation alternatives.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mechanical-engineer/?role=true,Designer / Artisan,"Mechanical Design & Studies",Generic,2
CATIA,Mechanical Motion Designer,"Engineer accurate mechanism motion, composed of sophisticated sheet metal, machined metal parts for tooling and general mechanical applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mechanical-motion-designer/?role=true,Designer / Artisan,"Mechanism & Motion",Generic,2
CATIA,Mechanical Shape Refinement Designer,"Grow quality of visible technical surfaces, to increase perceived quality, reach higher shape standards and optimize downstream processes consuming surfaces",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mechanical-shape-refinement-designer/?role=true,Designer / Artisan,"Shape Refinement",Generic,3
CATIA,Mechatronic Systems Engineer,"Leverage the power of Modelica and 3DEXPERIENCE to rapidly develop, simulate and validate complex mechatronic systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mechatronic-systems-engineer/?role=true,Engineer / Analyst,"Mechatronic Systems (Modelica)",Generic,3
ENOVIA,Medical Device Engineer,"Create a centralized, secure, digital repository between all global teams of all the data required to manufacture and test regulated products",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/medical-device-engineer/?role=true,Librarian / Scribe,"Medical Device Data Management","Medical Device",3
BIOVIA,Medicinal Chemist,"Utilize artificial intelligence (AI) and machine learning to rapidly optimize novel small molecule therapeutics",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/medicinal-chemist/?role=true,Alchemist / Scholar,"Drug Discovery (AI/ML)","Life Sciences",3
CATIA,Mold & Compensation Engineer,"Reduce cost of accurate part production by accelerating injection mold design thanks to dedicated guided assistant for design, simulation and compensation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mold-and-compensation-engineer/?role=true,Designer / Artisan,"Mold Design & Compensation",Generic,3
CATIA,Mold & Tooling Designer,"Reduce cost of accurate part production by accelerating injection mold design thanks to dedicated guided assistant for design and simulation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/mold-and-tooling-designer/?role=true,Designer / Artisan,"Mold & Tooling",Generic,2
SIMULIA,Motion Analyst,"Simulate high end mechanical systems and optimize their dynamics behavior in a seamless way from conceptual to detailed design.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/motion-analyst/?role=true,Engineer / Analyst,"Motion & Dynamics Simulation",Generic,3
CATIA,Motion Designer,"Design mechanisms and validate their kinematic and dynamic behaviors within the complete 3D product definition and assess static structural strength of parts",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/motion-designer/?role=true,Designer / Artisan,"Mechanism Design & Validation",Generic,2
SIMULIA,Motion Engineer,"Simulate advanced mechanical systems and optimize their dynamics behavior in a seamless way from conceptual to detailed design.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/motion-engineer/?role=true,Engineer / Analyst,"Motion & Dynamics (Advanced)",Generic,3
SIMULIA,Multidisciplinary Optimization Engineer,"Drive innovation by exploring multiple alternatives across the complete range of operating scenarios, all to make better decisions and find optimal designs",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/multidisciplinary-optimization-engineer/?role=true,Engineer / Analyst,"Multi-Disciplinary Optimization",Generic,3
CATIA,Multidiscipline Automated Drafter,"Increase Drawing productivity by delivering extended drafting capabilities and automatic batch generation of Piping and HVAC orthogonal and Isometric drawings",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/multidiscipline-automated-drafter/?role=true,Designer / Artisan,"Automated Drafting (Piping/HVAC)",Generic,3
DELMIA,NC Knowledge Manager,"The usage of knowledge templates by NC programmers will simplify the program creation and enable intelligent and automatic NC process creation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-knowledge-manager/?role=true,Craftsman / Maker,"NC Process Automation",Generic,3
DELMIA,NC Machine Simulation Engineer,"Full NC program validation based on NC Code (ISO Code / G-Code) machine simulation for milling, turning and mill-turn machines",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-machine-simulation-engineer/?role=true,Craftsman / Maker,"NC Machine Simulation",Generic,3
DELMIA,NC Mill-Turn Machine Programmer,"Define and validate machining processes to program NC lathe and mill-turn machines",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-mill-turn-machine-programmer/?role=true,Craftsman / Maker,"NC Programming (Mill-Turn)",Generic,2
DELMIA,NC Milling Machine Programmer,"Define and validate programs to mill complex parts on a multi-axis milling machine or robot",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-milling-machine-programmer/?role=true,Craftsman / Maker,"NC Programming (Milling)",Generic,2
DELMIA,NC Mold & Die Programmer,"Define and validate 2.5 and 3-axis machining processes to machine complex molds and dies",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-mold-and-die-programmer/?role=true,Craftsman / Maker,"NC Programming (Mold & Die)",Generic,2
DELMIA,NC Prismatic & Mill-Turn Machine Programmer,"Define and validate machining processes to program NC lathe and prismatic mill-turn machines",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-prismatic-and-mill-turn-machine-programmer/?role=true,Craftsman / Maker,"NC Programming (Prismatic & Mill-Turn)",Generic,2
DELMIA,NC Prismatic Machine Programmer,"Define and validate 2.5-axis and Wire EDM machining processes",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-prismatic-machine-programmer/?role=true,Craftsman / Maker,"NC Programming (Prismatic)",Generic,2
DELMIA,NC Shop Floor Programmer,"Enables CNC Machinist to create a NC Program dedicated to 3-axis Machine and Wire EDM",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-shop-floor-programmer/?role=true,Craftsman / Maker,"NC Programming (Shop Floor)",Generic,1
DELMIA,NC Shop Floor Reviewer,"NC Shop Floor Reviewer streamlines the Machining process by enabling shop floor users to review up-to-date NC processes and programs prior to execution.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/nc-shop-floor-reviewer/?role=true,Craftsman / Maker,"NC Process Review",Generic,1
CATIA,Naval Architect,"Providing integrated boat hull form Design & compartments position, with advanced shape design for best quality, optimization & first hydrostatics assessment",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/naval-architect/?role=true,Designer / Artisan,"Naval Architecture","Marine & Offshore",3
DELMIA,Operations Engineering Reviewer,"Review and assess your Manufacturing BOM, Process Plans and Work Instructions.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/operations-engineering-reviewer/?role=true,Craftsman / Maker,"Ops Engineering Review",Generic,1
DELMIA,Operations Experience Manager,"Anticipate disruptions and correct operational issues with real-time monitoring of global operations",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/operations-experience-manager/?role=true,Strategist / Guild Master,"Global Operations Management",Generic,2
DELMIA,Operations Experience Supervisor,"Anticipate disruptions and correct operational issues with real-time monitoring of global operations",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/operations-experience-supervisor/?role=true,Strategist / Guild Master,"Global Operations Oversight",Generic,2
CATIA,Outfitting 3D Systems Designer,"Engineer fluid & electrical systems and steel layout equipment while ensuring integration/synchronization in context of the overall ship or offshore platform",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/outfitting-3d-systems-designer/?role=true,Designer / Artisan,"Marine Outfitting (3D Systems)","Marine & Offshore",3
DELMIA,Outfitting Fabrication Engineer for Marine,"Automated rule-based work preparation generated from Outfitting design data to manage manufacturing deliverables for production",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/outfitting-fabrication-engineer-for-marine/?role=true,Craftsman / Maker,"Marine Outfitting Fabrication","Marine & Offshore",3
CATIA,Packaging Designer,"Packaging Designer helps Industrial Designers to translate concepts into qualified designs through tight integration between styling and mechnical shape design",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/packaging-designer/?role=true,Designer / Artisan,"Packaging / Industrial Design",ConsumerGoods,2
CATIA,Perceived Quality Engineer,"Reach a holistic view and enable decisions on core aspects of visual quality perception. Realistic appearance, shadows and reflections enrich simulation data",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/perceived-quality-engineer/?role=true,Engineer / Analyst,"Perceived Quality (Visual)",Generic,3
CATIA,Piping & HVAC 3D System Engineer,"An integrated 3D fluid systems development environment for the physical design of piping and HVAC systems in the context of the Digital Mock-Up",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/piping-and-hvac-3d-system-engineer/?role=true,Designer / Artisan,"Piping & HVAC 3D",Generic,2
GEOVIA,Pit Optimizer,"Enhance overall value and efficiency with comprehensive planning strategies from optimization to scheduling, implementing robust plans prioritizing economic value and ecological responsibility",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/pit-optimizer/?role=true,Urbanist / Cartographer,"Mining Pit Optimization","Mining",3
DELMIA,Plant Layout Designer,"Advanced layout capabilities enable Manufacturing Planners to efficiently define the factory resource layout",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/plant-layout-designer/?role=true,Craftsman / Maker,"Factory Layout (Advanced)",Generic,2
CATIA,Plant Layout Engineer,"Leverage the data centric 3D multidiscipline plant modeling paradigm to maximize project communication/efficiency within the 3DEXPERIENCE collaborative platform",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/plant-layout-engineer/?role=true,Designer / Artisan,"Plant 3D Layout",Generic,2
CATIA,Plant Mechanical Designer,"Create and manage sophisticated mechanical projects to design specific plant equipments thanks to a powerful set of applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/plant-mechanical-designer/?role=true,Designer / Artisan,"Mechanical Design (Plant)",Generic,2
SIMULIA,Plastic Injection Engineer,"Validate and optimize plastic part and mold tooling designs by simulating the filling, packing, warpage & mold cooling early in the product development process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/plastic-injection-engineer/?role=true,Engineer / Analyst,"Plastic Injection Simulation",Generic,3
3DEXP PLATFORM,Platform Extended Storage,"Increase your storage with this 25 GB extension.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/platform-extended-storage/?role=true,Librarian / Scribe,"Platform Resource Management",Generic,1
SIMULIA,Porous Media Characterization Engineer,"Perform pore scale simulations of porous media in reservoir rock, batteries, fuel cells and other materials to characterize and optimize their behavior",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/porous-media-characterization-engineer/?role=true,Engineer / Analyst,"Porous Media Simulation",Generic,3
ENOVIA,Portfolio Manager,"Drive company experience strategy and execution through holistic portfolio definition, planning and monitoring.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/portfolio-manager/?role=true,Strategist / Guild Master,"Portfolio Management",Generic,2
DELMIA,Powder Bed Machine Programmer,"Prepare & compute the manufacturing process for Powder Bed 3D Printers to reduce print time and wasted material",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/powder-bed-machine-programmer/?role=true,Craftsman / Maker,"Additive Mfg (Powder Bed)",Generic,3
DELMIA,Powder Bed Machine Specialist,"Prepare, compute & simulate the manufacturing process for Powder Bed 3D Printer to reduce print time and wasted material.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/powder-bed-machine-specialist/?role=true,Craftsman / Maker,"Additive Mfg (Powder Bed, Advanced)",Generic,3
CATIA,Powertrain & Chassis Engineer,"Accelerate the detailed design of sophisticated powertrain, transmission, chassis and suspension with respect of manufacturing rules and tolerancing",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/powertrain-and-chassis-engineer/?role=true,Designer / Artisan,"Automotive Powertrain & Chassis","Transportation & Mobility",3
NETVIBES,Preferred Component Consumer,"Empower designers with optimized components directly accessible in design, in line with your company's standardization and sourcing strategy",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/preferred-component-consumer/?role=true,Strategist / Guild Master,"Component Standardization",Generic,1
NETVIBES,Preferred Part Consumer,"Providing easy way to search similar parts, enforces designer and architect reuse decisions based on standardization company policy",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/preferred-part-consumer/?role=true,Strategist / Guild Master,"Part Standardization",Generic,1
DELMIA,Process Builder,N/A,https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/process-builder/?role=true,Craftsman / Maker,"Process Authoring / Builder",Generic,2
DELMIA,Process Engineer,"Powerful 3D applications for definition, reconciliation, and visual validation of the Manufacturing Bill of Materials and associated Process Plans",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/process-engineer/?role=true,Craftsman / Maker,"Manufacturing Process Engineering",Generic,2
DELMIA,Process Quality Analyst,"Manage analysis of process plans by means of P-FMEA, ensure quality controls are implemented in the as-planned processes in accordance to APQP standards",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/process-quality-analyst/?role=true,Strategist / Guild Master,"Process Quality (APQP)",Generic,3
DELMIA,Process Simulation Reviewer,"Utilize 3D simulations to review, mark-up and share best engineering practices",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/process-simulation-reviewer/?role=true,Craftsman / Maker,"Process Simulation Review",Generic,1
CATIA,Process modeling and Engineering Library,"Library to simulate thermodynamic separation processes including rectification columns, separator tanks and all components to simulate a rectification plant",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/process-modeling-and-engineering-library/?role=true,Engineer / Analyst,"Process Simulation (Thermodynamics)",Generic,3
N/A,Product Communicator,"Seeing is believing - create stunning digital content to showcase product values, enable partners and win customers",https://my.3dexperience.3ds.com/welcome/compass-world/3dexperience-works/marketing-sales/marketing-content-creation/product-communicator,Illusionist / Performer,"Product Content Creation",Generic,1
3DEXCITE,Product Communicator,"Create stunning digital content to showcase product values, enable partners and win customers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-communicator/?role=true,Illusionist / Performer,"Marketing Digital Content",Generic,1
CATIA,Product Creative Designer,"A Unified Creative Design workflow solution to Imagine, Create & Experience the Product and Packaging of tomorrow",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-creative-designer/?role=true,Designer / Artisan,"Creative / Industrial Design",Generic,2
CATIA,Product Design Presenter,"Create intuitive and realistic Design presentations to take and capture the right design decision. Explore alternatives, packages and check product KPIs.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-design-presenter/?role=true,Illusionist / Performer,"Design Presentation / Visualization",Generic,2
CATIA,Product Designer,"Product Designer is the complete and unified industrial design solution to boost creativity, design quality and reduce time-to-market",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-designer/?role=true,Designer / Artisan,"Industrial / Product Design",Generic,1
CATIA,Product Enclosure Engineer for High-Tech,"Optimize the complete high-tech electronic device design process by connecting mechanical and electronics engineering disciplines",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-enclosure-engineer-for-high-tech/?role=true,Designer / Artisan,"High-Tech Enclosure (Mechanical/Electronics)","High-Tech",3
ENOVIA,Product Engineering Specialist,"Reduce engineering lead time to complete and validate the product Engineering Definition",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-engineering-specialist/?role=true,Librarian / Scribe,"Product Engineering (PLM)",Generic,2
ENOVIA,Product Manager,"Provide the right offers at the right time to meet the demand & personalization of customers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-manager/?role=true,Strategist / Guild Master,"Product Strategy & Offers",Generic,2
CATIA,Product Mechanical Designer for Home & Lifestyle,"Empower mechanical designers to design and validate any kind of Home & Lifestyle sophisticated products",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-mechanical-designer-for-home-and-lifestyle/?role=true,Designer / Artisan,"Mechanical Design (Home & Lifestyle)","Home & Lifestyle",2
ENOVIA,Product Record Manager,"Harmonize Design Controls for global compliance",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-record-manager/?role=true,Librarian / Scribe,"Product Record & Compliance",Generic,3
ENOVIA,Product Release Engineer,"Reduce engineering lead time to complete and validate the product engineering definition",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-release-engineer/?role=true,Librarian / Scribe,"Product Release & Lifecycle",Generic,2
ENOVIA,Product Sourcing Analyst,"Reduce distance between Engineering and Sourcing by revealing Strategic Sourcing information and activity through the lens of your Virtual Twin",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-sourcing-analyst/?role=true,Strategist / Guild Master,"Engineering-Sourcing Bridge",Generic,2
DELMIA,Product and Packaging Manufacturing Engineer,"Define your manufacturing BOM, process plans, and 3D work instructions based on seamlessly connected engineering design data",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/product-and-packaging-manufacturing-engineer/?role=true,Craftsman / Maker,"Product & Packaging Mfg",ConsumerGoods,2
DELMIA,Production Engineer for Education,"Delivers a common, up-to-date view of the manufacturing enterprise that facilitates problem-solving and enables efficient root cause analysis",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/production-engineer-for-education/?role=true,Craftsman / Maker,"Manufacturing (Education)",Education,1
DELMIA,Production Performance Analyst,"Improve execution performance by using lead time analysis to eliminate gaps in duration between planned and actual implementation.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/production-performance-analyst/?role=true,Strategist / Guild Master,"Production Performance",Generic,2
DELMIA,Production Scheduler,"The Production Scheduler manages the scheduling and rescheduling of work, and by doing so improves productivity, delivery performance and work in progress.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/production-scheduler/?role=true,Craftsman / Maker,"Production Scheduling",Generic,2
ENOVIA,Program Manager for Education,"Provides you with numerous organization and work process related tools",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/program-manager-for-education/?role=true,Strategist / Guild Master,"Program Management (Education)",Education,1
ENOVIA,Project Collaborator for Education,"Increase your classroom collaboration and overall efficiency",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/project-collaborator-for-education/?role=true,Librarian / Scribe,"Project Collaboration (Education)",Education,1
